# R0=8.178 kpc
# V0[km/s]  alpha  rho0[GeV/cm3]  Rs[kpc]  chi2
218.0  1.5  0.3068  19.7664  39.9108
218.0  1.5  0.3068  20.4755  39.9888
218.0  1.5  0.3068  21.2100  40.0781
218.0  1.5  0.3068  21.9709  39.4847
218.0  1.5  0.3068  22.7591  39.6175
218.0  1.5  0.3068  23.5755  39.7578
218.0  1.5  0.3068  24.4212  36.7018
218.0  1.5  0.3068  25.2973  36.7878
218.0  1.5  0.3068  26.2048  36.8829
218.0  1.5  0.3068  27.1448  36.9861
218.0  1.5  0.3068  28.1186  37.0962
218.0  1.5  0.3068  29.1273  34.8113
218.0  1.5  0.3068  30.1722  34.9226
218.0  1.5  0.3068  31.2546  35.0387
218.0  1.5  0.3068  32.3758  35.1586
218.0  1.5  0.3068  33.5372  35.2816
